,ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
0,2003,2003-05-11,8,Arena do Grêmio,,,,Grêmio,Coritiba FC,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
1,2003,2003-06-15,13,Arena do Grêmio,,,,Grêmio,Internacional,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
2,2003,2003-07-06,16,Arena do Grêmio,,,,Grêmio,Flamengo,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,
3,2003,2003-08-02,23,Arena do Grêmio,,,,Grêmio,Santos FC,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,
4,2003,2003-08-23,28,Arena do Grêmio,,,,Grêmio,São Caetano,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
5,2003,2003-04-05,2,Arena do Grêmio,,,,Grêmio,Guarani,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,
6,2003,2003-04-17,4,Arena do Grêmio,,,,Grêmio,EC Vitória,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,
7,2003,2003-04-27,6,Arena do Grêmio,,,,Grêmio,Fluminense,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
8,2003,2003-06-07,12,Arena do Grêmio,,,,Grêmio,Fortaleza,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,
9,2003,2003-07-13,18,Arena do Grêmio,,,,Grêmio,Cruzeiro,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
10,2003,2003-08-10,25,Arena do Grêmio,,,,Grêmio,Atlético-PR,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
11,2003,2003-08-17,26,Arena do Grêmio,,,,Grêmio,Goiás EC,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
12,2003,2003-09-13,30,Arena do Grêmio,,,,Grêmio,EC Bahia,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
13,2003,2003-10-04,34,Arena do Grêmio,,,,Grêmio,Figueirense FC,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,
14,2003,2003-05-25,10,Arena do Grêmio,,,,Grêmio,São Paulo,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,
15,2003,2003-07-25,21,Arena do Grêmio,,,,Grêmio,Criciúma EC,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,
16,2003,2003-09-25,32,Arena do Grêmio,,,,Grêmio,Ponte Preta,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,
17,2003,2003-10-18,37,Arena do Grêmio,,,,Grêmio,Atlético-MG,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,
18,2003,2003-06-28,15,Arena do Grêmio,,,,Grêmio,Juventude,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,
19,2003,2003-04-13,3,Estádio Brinco de Ouro da Princesa,,,,Guarani,Paraná,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,
20,2003,2003-05-11,8,Estádio Brinco de Ouro da Princesa,,,,Guarani,Internacional,,,,,,,,,3.0,0.0,,,,,,,,,,,,,,,,
